row_id,text,label_true,label_pred,margin,hien_tuong
13770,thấy tội Vũ Thịnh.. ko biết nói sao kiểu ko được lòng khán giả nên cũng thiệt thòi,2,1,2.0132868988449353,
8537,chương trình ơi chiếu quài đi đừng hết được không 😢😢,1,0,1.8505949105675574,
6810,captain vậy mà top cuối buồn v😥,1,0,1.8443826716956306,
12711,Pháp kiều bêđê luôn h,0,2,1.823098538679322,
10271,Negav có bạn diễn gánh còng lưng áp đảo luôn phần của em ý luôn,0,2,1.6920465176238255,
2787,K còn hùng huỳnh cảm giác thiếu thiếu một cái gì😢,1,0,1.582163893100308,
7967,"Mặc dù cũng thích ats2 nhưng chương trình có vẻ thích drama hơn là về chất lượng, ngoài lề tí là lyly đẹp tuyệt😅",0,1,1.547972003634744,
18766,"1. no far bo star toàn gà nhà( ưu tiên) 2. don't care khách mời nước ngoài( thấp quá thì khách mời không dám quay lại nữa)😂😂 3.Thực lực+ nguyễn thúc thuỳ tiên 10/10 , sóng vỗ vỡ bờ xứng đáng top 1,2 nhưng hông có vé ưu tiên thì chịu đi kkkk",2,0,1.5443189950654823,
18469,Nói thật bài negav hay nhưng khách mời gánh Ko có khách mời negav Ko hát nổi luôn giọng quá yếu nói thật,1,0,1.464219384976918,
14810,Bài nào cũng hay giờ bài nào top cũng đc so sánh gì mắc công,1,2,1.379240499083172,
11390,"Chắc có mình em ko thích coi ATSH mùa 2 với EXSH ha, nếu phải chọn giữa ATSH mùa 2 với EXSH thì chắc em chọn EXSH, vì coi mùa 1 xong cái em thấy mùa 2 ko ai đẹp hết trừ anh Bắp, mùa 1 thì mấy anh trai đa số là em biết mặt hết nên coi vui, mùa 2 trừ anh Bắp ra là ko biết mặt ai hết nên ko thích xem mùa 2. Ý kiến của em thôi mong mn đừng to6 ạ",0,1,1.2533379462887786,
146,Nicky atrai luỵ ctrinh kkk,2,0,1.2496629718476928,
11634,10/10 hay mà sao mấy ng ở trường quay vote kiểu j vậy trời 🥲🥲,2,0,1.22887619745988,
2826,ngáo ngơ top 4 á :)))) tao không tin,1,0,1.2212067038537064,
755,mc trấn thành hoảng hốt khi thấy rhyder hét,1,2,1.2042136384976339,
16838,Ryder chi biết ra xoè 😅😅😅😅,2,0,1.155446329617169,
3434,Nghe NGÁO NGƠ xong cái ngáo với ngơ luôn!!!! Không làm khán giả thất vọng. Top 1 nhé! ❤,2,0,1.1271463739313092,
9205,"anh Hải Đang bị loại toàn do ngẫu nhiên ko mà, đâu phải cố ý đâu, có gì đâu mà buồn nè.",1,0,1.1181889307403214,
11627,để cái trailer nhìn atus khok mà sợ,0,1,1.112256252452172,
2195,Cap sao lại bỏ Rhy😢😢,2,0,1.0702310966386546,
17652,Không hiểu sao ngáo ngơ thứ 4. Mặc dù đang top 1 trending 😁,1,0,1.0562641461069504,
3320,"Trời ơi, ông Hùng Huỳnh kinh khủng vậy",0,2,1.0495583882135264,
14026,"Ủa alo, Ngáo Ngơ 4, Regret 5. Lộn hả khán giả ơi 🥹 top 1 trending không đó",2,0,1.0489571772724307,
463,"T coi chương trình này xong, t k uống boncha luôn ám ảnh 😂😂",1,0,1.0477673226162838,
16100,"7/5/2025 ùii, xem đi xem lại 7-8 lần mà k thấy chán, kỉ niệm đáng nhớ quá đii",2,0,1.047355679372692,
12244,giá mà k có đoạn lên gió của song tú ở đoạn đầu. thì thật sự bài này quá tuyệt vời,1,2,1.0431482974654487,
1641,dương domic tội quá,0,1,1.042440186379864,
2238,Tiếc cho team của Captain ghê,0,1,0.9878317956919149,
16873,Trả Nicky lại đi 😢,2,0,0.9612638071844153,
2435,atus anh nay né camera nhiều quá nha,1,2,0.9393387955815378,
14311,Nhìn Quân AP lấy thân đập bóng mà đau giùm,1,2,0.918236621050075,
13296,Trời oie tiếc captain quá.. nhảy phê quá,2,0,0.9050799833686534,
468,Trân thành dẫn chương trình.duyên . và khéo quá.không chê điển nào,2,0,0.8872448725673839,
8299,Chết tôi đánh đòn tâm lí mạnh quá,1,2,0.884025282577717,
12549,"Ngáo ngơ bài hát bị bỏ lai cuối cùng, nhưng mà sẽ là bài đứng top 1 mới ghe😂😂",2,0,0.8793445477195718,
2437,"ATUS nói đúng, ảnh chỉ đứng hát",0,2,0.8655490087698479,
18806,Tiếc cho Rhyder và Quang Hùng tht nma chúc mừng HTH nha,1,2,0.8450855941480595,
6036,Tội a tú voi ve coi lai chac hoi han,2,0,0.841507955094454,
16656,Sao A tết cứ vô vòng loại thế kia 😂😂😂. Chẳng lẽ như nhi nhà bè sao 😅😅😅,1,0,0.8283733971857838,
15891,Hiếu thẳng thắn v là biết tính hơi bị chịu thiệt rồi đó. Làm trong ngành này mà đc như vậy thì phải trân trọn Hiếu,2,0,0.8271468270356289,
3967,Team erit đẹp mà giọng hát vòng 2 chưa hút,1,2,0.8223091154759775,
7276,"Thực chất phần cuối, đằng sau nước mắt của các anh trai là biển rộng😢, nhiều khi khán giả thiên vị, chỉ tính phần đẹp trai mà không nghe hát. Các anh em ở lại sẽ vui sao? Không, các anh em vẫn sẽ rất buồn vì cảm giác tấn công vào cảm xúc của mình chính là thứ buồn bã trong cuộc đời nổi tiếng của các anh trai🥺😢😭😞",0,1,0.8171259123828838,
4951,vòng này dance +1 respect cho Vũ Thịnh dù mình k thích anh lắm,1,0,0.8146295927282656,
4271,25:02 khi có thằng bạn dám tấu hề và thằng bạn dám diễn🤣 HTH kiểu: bất lực với mấy cha nội này đang đau mà xem cừi suýt rách chỉ khâu,2,0,0.8110278583535788,
