prep,C,seed,accuracy,f1_macro,f1_negative,f1_neutral,f1_positive,n_train,n_test
old,0.3,0,0.7805,0.7220449209382697,0.7644760213143872,0.5131195335276968,0.8885392079727249,15997,4000
old,0.3,1,0.77025,0.7120601893492702,0.75,0.5054466230936819,0.8807339449541285,15997,4000
old,0.3,2,0.77925,0.7229260462804737,0.7618712627506156,0.5283875851627555,0.87851929092805,15997,4000
old,0.3,3,0.77775,0.7250953764582985,0.7655974621078604,0.5349854227405247,0.8747032445265102,15997,4000
old,0.3,4,0.77125,0.7171457828016611,0.7537688442211056,0.527086383601757,0.8705821205821206,15997,4000
old,0.3,42,0.77175,0.7224765802046482,0.7572192513368984,0.5431218816821097,0.8670886075949367,15997,4000
old,1.0,0,0.77075,0.7096331676601532,0.7529495888451913,0.49130434782608695,0.8846455663091812,15997,4000
old,1.0,1,0.76,0.699431687531793,0.7440370238519046,0.4822076978939724,0.8720503408495018,15997,4000
old,1.0,2,0.7655,0.7074973835871409,0.7479674796747967,0.5052316890881914,0.8692929819984346,15997,4000
old,1.0,3,0.766,0.7100516035988301,0.7579169598874033,0.5069597069597069,0.8652781439493804,15997,4000
old,1.0,4,0.7685,0.7130829293113777,0.7551896921975663,0.516507703595011,0.8675513921415561,15997,4000
old,1.0,42,0.75975,0.7056715919702267,0.7475035663338089,0.5082319255547602,0.8612792840221111,15997,4000
new,0.3,0,0.78275,0.7252450025514386,0.7678062678062678,0.5192727272727272,0.8886560125753209,15997,4000
new,0.3,1,0.773,0.7153754135084421,0.7530163236337828,0.5124816446402349,0.8806282722513089,15997,4000
new,0.3,2,0.77925,0.7230582597355729,0.7610062893081762,0.529277566539924,0.8788909233586188,15997,4000
new,0.3,3,0.7735,0.7194042623926219,0.7618048268625394,0.5250737463126843,0.871334214002642,15997,4000
new,0.3,4,0.77075,0.7168448364557038,0.757564969740121,0.5249266862170088,0.8680428534099817,15997,4000
new,0.3,42,0.76625,0.7161015184804146,0.7510638297872341,0.5353535353535354,0.8618871903004744,15997,4000
new,1.0,0,0.772,0.7137741151204522,0.7551388388027407,0.5046594982078854,0.8815240083507306,15997,4000
new,1.0,1,0.76175,0.700817475055592,0.744832501781896,0.4856512141280353,0.8719687092568449,15997,4000
new,1.0,2,0.766,0.7061939177662887,0.7504399859204506,0.5007656967840735,0.8673760705943421,15997,4000
new,1.0,3,0.7615,0.7047163813553935,0.7542016806722689,0.49926144756277696,0.8606860158311346,15997,4000
new,1.0,4,0.76725,0.7117724818411787,0.7558264610971674,0.5131195335276968,0.8663714508986715,15997,4000
new,1.0,42,0.75725,0.7040567030583688,0.7468850124599502,0.5074626865671642,0.8578224101479915,15997,4000
