row_id,text,label_true,label_pred,margin,hien_tuong,ghi_chu
13770,thấy tội Vũ Thịnh.. ko biết nói sao kiểu ko được lòng khán giả nên cũng thiệt thòi,2,1,2.0132868988449353,thuong_cam_tiec_nuoi,"thương cảm cho thí sinh, từ ngữ buồn nhưng không phải chê"
8537,chương trình ơi chiếu quài đi đừng hết được không 😢😢,1,0,1.8505949105675576,phu_dinh,"""đừng hết được không"" là mong muốn, phủ định kéo về tiêu cực"
6810,captain vậy mà top cuối buồn v😥,1,0,1.8443826716956304,thuong_cam_tiec_nuoi,"""buồn"" cho thứ hạng, không đánh giá thí sinh"
12711,Pháp kiều bêđê luôn h,0,2,1.823098538679322,teencode_ngoai_tu_dien,tiếng lóng miệt thị ngoài từ điển teencode
10271,Negav có bạn diễn gánh còng lưng áp đảo luôn phần của em ý luôn,0,2,1.6920465176238255,ngu_canh_chuong_trinh,"thành ngữ ""gánh còng lưng"" là chê, cần hiểu bối cảnh"
2787,K còn hùng huỳnh cảm giác thiếu thiếu một cái gì😢,1,0,1.582163893100308,thuong_cam_tiec_nuoi,"""thiếu thiếu"" khi vắng thí sinh, thái độ tiếc nuối"
7967,"Mặc dù cũng thích ats2 nhưng chương trình có vẻ thích drama hơn là về chất lượng, ngoài lề tí là lyly đẹp tuyệt😅",0,1,1.547972003634744,vua_khen_vua_che,thích thí sinh nhưng chê chương trình chạy theo drama
18766,"1. no far bo star toàn gà nhà( ưu tiên) 2. don't care khách mời nước ngoài( thấp quá thì khách mời không dám quay lại nữa)😂😂 3.Thực lực+ nguyễn thúc thuỳ tiên 10/10 , sóng vỗ vỡ bờ xứng đáng top 1,2 nhưng hông có vé ưu tiên thì chịu đi kkkk",2,0,1.5443189950654823,vua_khen_vua_che,"chê cơ chế ưu tiên, khen thực lực và bài hát"
18469,Nói thật bài negav hay nhưng khách mời gánh Ko có khách mời negav Ko hát nổi luôn giọng quá yếu nói thật,1,0,1.464219384976918,vua_khen_vua_che,"khen bài, chê giọng; hai vế ngược nhau trong một câu"
14810,Bài nào cũng hay giờ bài nào top cũng đc so sánh gì mắc công,1,2,1.379240499083172,nhan_goc_dang_ngo,"""bài nào cũng hay"" là khen, nhãn gốc ghi trung tính"
11390,"Chắc có mình em ko thích coi ATSH mùa 2 với EXSH ha, nếu phải chọn giữa ATSH mùa 2 với EXSH thì chắc em chọn EXSH, vì coi mùa 1 xong cái em thấy mùa 2 ko ai đẹp hết trừ anh Bắp, mùa 1 thì mấy anh trai đa số là em biết mặt hết nên coi vui, mùa 2 trừ anh Bắp ra là ko biết mặt ai hết nên ko thích xem mùa 2. Ý kiến của em thôi mong mn đừng to6 ạ",0,1,1.2533379462887786,phu_dinh,nhiều vế phủ định lồng nhau trong một bình luận dài
146,Nicky atrai luỵ ctrinh kkk,2,0,1.2496629718476928,teencode_ngoai_tu_dien,"""luỵ"", ""atrai"", ""ctrinh"" viết tắt của fan"
11634,10/10 hay mà sao mấy ng ở trường quay vote kiểu j vậy trời 🥲🥲,2,0,1.22887619745988,vua_khen_vua_che,"khen bài hát, chê khán giả trường quay bình chọn"
2826,ngáo ngơ top 4 á :)))) tao không tin,1,0,1.2212067038537064,phu_dinh,"""tao không tin"" là ngạc nhiên, không phải chê"
755,mc trấn thành hoảng hốt khi thấy rhyder hét,1,2,1.204213638497634,ten_rieng_va_emoji,"chỉ mô tả sự việc, mô hình bắt tên riêng làm tín hiệu"
16838,Ryder chi biết ra xoè 😅😅😅😅,2,0,1.155446329617169,ten_rieng_va_emoji,sắc thái vui nằm ở emoji cười đã bị xóa
3434,Nghe NGÁO NGƠ xong cái ngáo với ngơ luôn!!!! Không làm khán giả thất vọng. Top 1 nhé! ❤,2,0,1.1271463739313092,phu_dinh,"""không làm khán giả thất vọng"" là lời khen qua phủ định"
9205,"anh Hải Đang bị loại toàn do ngẫu nhiên ko mà, đâu phải cố ý đâu, có gì đâu mà buồn nè.",1,0,1.1181889307403214,phu_dinh,"chuỗi ""ko"", ""đâu phải"", ""có gì đâu mà buồn"" để trấn an"
11627,để cái trailer nhìn atus khok mà sợ,0,1,1.112256252452172,teencode_ngoai_tu_dien,"""khok"" viết sai chính tả, ngoài từ điển"
